feature,stability_percentage,avg_importance,std_importance
LINC02340,95.0,0.5964912280701754,1.0235755891799876
TMEM210,100.0,0.25,0.566421515598881
SCCPDH,90.0,0.24074074074074073,0.880555068738425
ATF3,95.0,0.21052631578947367,0.5210260492953508
LINC01565,100.0,0.18333333333333332,0.4651761912317621
ZNF284,100.0,0.16666666666666666,0.711024300256718
GABARAPL1,100.0,0.1,0.3511884584284246
ARRDC3,100.0,0.06666666666666667,0.24944382578492943
FAM210A,90.0,0.05555555555555555,0.29917582261858355
RAB33B,90.0,0.05555555555555555,0.22906142364542553
VWA5A,95.0,0.05263157894736842,0.2914604864181781
NPHP4,95.0,0.05263157894736842,0.2232968782694361
ATL3,90.0,0.037037037037037035,0.18885257457751053
CTNNA1,95.0,0.03508771929824561,0.2625724481946625
TTC39C,95.0,0.03508771929824561,0.2625724481946625
ALDH2,90.0,0.018518518518518517,0.13481684980149108
ZNF165,95.0,0.017543859649122806,0.13128622409733126
MAOA,95.0,0.017543859649122806,0.13128622409733126
SNRNP25,100.0,0.016666666666666666,0.12801909579781015
MOCOS,100.0,0.0,0.0
DUSP1,95.0,0.0,0.0
EIF1,95.0,0.0,0.0
LIMK2,95.0,0.0,0.0
SDCBP2,95.0,0.0,0.0
RNU4-49P,95.0,0.0,0.0
ARG2,95.0,0.0,0.0
SPRING1,90.0,0.0,0.0
FN3KRP,90.0,0.0,0.0
RMND5A,90.0,0.0,0.0
JPT1,90.0,0.0,0.0
